2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EC%9E%84%EC%9A%A9.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 7374
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EA%B3%B5%EB%AC%B4%EC%9B%90.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 3745
2023-01-30 09:31:34 200 GET /assets/css/flags.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 5275
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EB%8C%80%ED%95%99%EC%88%98%EB%8A%A5.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 10833
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EC%9E%90%EA%B2%A9%EC%A6%9D.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 4600
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EA%B8%B0%ED%83%80.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 5944
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EC%BD%94%EB%94%A9.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 5253
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%ED%95%99%EA%B5%90%EA%B3%B5%EB%B6%80.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 7317
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EC%9D%B4%EC%A7%81.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 6897
2023-01-30 09:31:34 200 GET /assets/images/likeTag/%EC%9E%90%EA%B8%B0%EA%B3%84%EB%B0%9C.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/studyRoom/study 0:0:0:0:0:0:0:1 7820
